"","x"
"1","1979-03-25"
"2","1979-03-25"
"3","1979-03-25"
"4","1979-03-25"
"5","1979-03-25"
"6","1979-03-25"
"7","1979-03-25"
"8","1979-03-25"
"9","1979-03-25"
"10","1979-03-25"
"11","1979-03-25"
"12","1979-03-25"
"13","1979-03-25"
"14","1979-03-25"
"15","1979-03-26"
"16","1979-03-26"
"17","1979-03-27"
"18","1979-03-27"
"19","1979-03-27"
"20","1979-03-27"
"21","1979-03-28"
"22","1979-03-28"
"23","1979-04-02"
"24","1979-04-02"
"25","1979-04-02"
"26","1979-04-05"
"27","1979-04-05"
"28","1979-04-05"
"29","1979-04-09"
"30","1979-04-09"
"31","1979-04-09"
"32","1979-04-09"
"33","1979-04-09"
"34","1979-04-09"
"35","1979-04-24"
"36","1979-04-24"
"37","1979-04-24"
"38","1979-04-24"
"39","1979-04-25"
"40","1979-04-25"
"41","1979-04-25"
"42","1979-04-25"
"43","1979-04-25"
"44","1979-04-25"
"45","1979-04-25"
"46","1979-04-25"
"47","1979-04-25"
"48","1979-04-25"
"49","1979-04-25"
"50","1979-04-25"
"51","1979-04-26"
"52","1979-04-26"
"53","1979-04-26"
"54","1979-04-30"
"55","1979-04-30"
"56","1979-04-30"
"57","1979-04-30"
"58","1979-04-30"
"59","1979-04-30"
"60","1979-05-01"
"61","1979-05-01"
"62","1979-05-02"
"63","1979-05-02"
"64","1979-05-03"
"65","1979-05-03"
"66","1979-05-03"
"67","1979-05-03"
"68","1979-05-07"
"69","1979-05-08"
"70","1979-05-08"
"71","1979-05-10"
"72","1979-05-10"
"73","1979-05-14"
"74","1979-05-15"
"75","1979-05-15"
"76","1979-05-16"
"77","1979-05-16"
"78","1979-05-16"
"79","1979-05-17"
"80","1979-05-21"
"81","1979-05-22"
"82","1979-05-22"
"83","1979-05-22"
"84","1979-05-22"
"85","1979-05-22"
"86","1979-05-23"
"87","1979-05-23"
"88","1979-06-04"
"89","1979-06-05"
"90","1979-06-05"
"91","1979-06-06"
"92","1979-06-07"
"93","1979-06-12"
"94","1979-06-13"
"95","1979-06-18"
"96","1979-06-18"
"97","1979-06-19"
"98","1979-06-19"
"99","1979-06-20"
"100","1979-06-20"
"101","1979-06-25"
"102","1979-06-25"
"103","1979-06-25"
"104","1979-06-25"
"105","1979-06-25"
"106","1979-06-26"
"107","1979-06-26"
"108","1979-06-26"
"109","1979-06-26"
"110","1979-07-09"
"111","1979-07-10"
"112","1979-07-12"
"113","1979-07-12"
"114","1979-07-13"
"115","1979-07-13"
"116","1979-07-13"
"117","1979-07-13"
"118","1979-07-16"
"119","1979-07-16"
"120","1979-07-16"
"121","1979-07-16"
"122","1979-07-17"
"123","1979-07-17"
"124","1979-07-17"
"125","1979-07-17"
"126","1979-07-17"
"127","1979-07-18"
"128","1979-07-18"
"129","1979-07-18"
"130","1979-07-18"
"131","1979-07-18"
"132","1979-07-18"
"133","1979-07-18"
"134","1979-07-18"
"135","1979-07-18"
"136","1979-07-19"
"137","1979-07-19"
"138","1979-07-19"
"139","1979-07-19"
"140","1979-07-20"
"141","1979-07-20"
"142","1979-07-20"
"143","1979-07-20"
"144","1979-07-20"
"145","1979-07-20"
"146","1979-07-20"
"147","1979-07-20"
"148","1979-07-20"
"149","1979-07-21"
"150","1979-07-21"
"151","1979-07-21"
"152","1979-07-21"
"153","1979-07-21"
"154","1979-07-23"
"155","1979-07-24"
"156","1979-07-25"
"157","1979-07-25"
"158","1979-07-26"
"159","1979-07-26"
"160","1979-07-26"
"161","1979-07-26"
"162","1979-07-26"
"163","1979-07-26"
"164","1979-07-26"
"165","1979-07-27"
"166","1979-07-27"
"167","1979-07-27"
"168","1979-07-27"
"169","1979-07-27"
"170","1979-07-30"
"171","1979-07-30"
"172","1979-07-31"
"173","1979-08-01"
"174","1979-08-02"
"175","1979-08-03"
"176","1979-08-03"
"177","1979-08-03"
"178","1979-08-03"
"179","1979-09-05"
"180","1979-09-05"
"181","1979-09-05"
"182","1979-09-06"
"183","1979-09-06"
"184","1979-09-06"
"185","1979-09-06"
"186","1979-09-06"
"187","1979-09-07"
"188","1979-09-10"
"189","1979-09-10"
"190","1979-09-10"
"191","1979-09-10"
"192","1979-09-10"
"193","1979-09-10"
"194","1979-09-11"
"195","1979-09-11"
"196","1979-09-11"
"197","1979-09-13"
"198","1979-09-13"
"199","1979-09-13"
"200","1979-09-13"
"201","1979-09-14"
"202","1979-09-14"
"203","1979-09-14"
"204","1979-09-14"
"205","1979-09-14"
"206","1979-09-14"
"207","1979-09-14"
"208","1979-09-14"
"209","1979-09-17"
"210","1979-09-17"
"211","1979-09-17"
"212","1979-09-18"
"213","1979-09-18"
"214","1979-09-19"
"215","1979-09-19"
"216","1979-09-19"
"217","1979-09-19"
"218","1979-09-19"
"219","1979-09-20"
"220","1979-09-20"
"221","1979-09-21"
"222","1979-09-21"
"223","1979-09-24"
"224","1979-09-24"
"225","1979-09-24"
"226","1979-09-25"
"227","1979-09-25"
"228","1979-09-27"
"229","1979-09-27"
"230","1979-09-27"
"231","1979-09-27"
"232","1979-09-27"
"233","1979-09-28"
"234","1979-09-28"
"235","1979-09-28"
"236","1979-09-28"
"237","1979-09-28"
"238","1979-10-01"
"239","1979-10-03"
"240","1979-10-03"
"241","1979-10-03"
"242","1979-10-04"
"243","1979-10-04"
"244","1979-10-04"
"245","1979-10-04"
"246","1979-10-04"
"247","1979-10-09"
"248","1979-10-09"
"249","1979-10-09"
"250","1979-10-09"
"251","1979-10-09"
"252","1979-10-09"
"253","1979-10-09"
"254","1979-10-09"
"255","1979-10-11"
"256","1979-10-12"
"257","1979-10-12"
"258","1979-10-12"
"259","1979-10-12"
"260","1979-10-12"
"261","1979-10-12"
"262","1979-10-15"
"263","1979-10-15"
"264","1979-10-15"
"265","1979-10-16"
"266","1979-10-16"
"267","1979-10-16"
"268","1979-10-18"
"269","1979-10-22"
"270","1979-10-22"
"271","1979-10-25"
"272","1979-10-25"
"273","1979-10-29"
"274","1979-10-29"
"275","1979-10-30"
"276","1979-10-30"
"277","1979-10-30"
"278","1979-10-31"
"279","1979-10-31"
"280","1979-11-01"
"281","1979-11-01"
"282","1979-11-01"
"283","1979-11-06"
"284","1979-11-06"
"285","1979-11-06"
"286","1979-11-07"
"287","1979-11-07"
"288","1979-11-07"
"289","1979-11-08"
"290","1979-11-08"
"291","1979-11-08"
"292","1979-11-08"
"293","1979-11-09"
"294","1979-11-09"
"295","1979-11-13"
"296","1979-11-13"
"297","1979-11-13"
"298","1979-11-14"
"299","1979-11-15"
"300","1979-11-15"
"301","1979-11-15"
"302","1979-11-15"
"303","1979-11-16"
"304","1979-11-16"
"305","1979-11-16"
"306","1979-11-19"
"307","1979-11-19"
"308","1979-11-20"
"309","1979-11-20"
"310","1979-11-20"
"311","1979-11-26"
"312","1979-11-26"
"313","1979-11-26"
"314","1979-11-27"
"315","1979-11-27"
"316","1979-11-27"
"317","1979-11-27"
"318","1979-11-28"
"319","1979-12-04"
"320","1979-12-04"
"321","1979-12-04"
"322","1979-12-05"
"323","1979-12-05"
"324","1979-12-05"
"325","1979-12-06"
"326","1979-12-06"
"327","1979-12-06"
"328","1979-12-06"
"329","1979-12-06"
"330","1979-12-07"
"331","1979-12-07"
"332","1979-12-10"
"333","1979-12-10"
"334","1979-12-10"
"335","1979-12-10"
"336","1979-12-11"
"337","1979-12-12"
"338","1979-12-12"
"339","1979-12-12"
"340","1979-12-12"
"341","1979-12-12"
"342","1979-12-12"
"343","1979-12-12"
"344","1979-12-13"
"345","1979-12-14"
"346","1979-12-14"
"347","1979-12-15"
"348","1979-12-15"
"349","1979-12-15"
"350","1979-12-15"
"351","1979-12-17"
"352","1979-12-17"
"353","1979-12-17"
"354","1979-12-17"
"355","1979-12-19"
"356","1979-12-19"
"357","1979-12-19"
"358","1979-12-19"
"359","1979-12-19"
"360","1979-12-20"
"361","1979-12-20"
"362","1979-12-20"
"363","1979-12-20"
"364","1980-01-22"
"365","1980-01-23"
"366","1980-01-23"
"367","1980-01-23"
"368","1980-01-24"
"369","1980-01-24"
"370","1980-01-24"
"371","1980-01-24"
"372","1980-01-24"
"373","1980-01-24"
"374","1980-01-29"
